reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc,metric,delta
8,8192,128,32,16,2.0,mixed_benefit,1.0,0.46029814420904475,16.623849188952214,0.0,-0.7986803993736292,-0.8172434962863232,0.0,shared_kv_placement_delta,0.0
8,8192,128,32,16,16.0,mixed_benefit,1.0,0.46029814420904475,16.46054727088461,0.0,-0.7986803993736291,-0.8172314128849927,0.0,prefill_saving_delta,1.0
8,8192,128,32,16,16.0,mixed_benefit,1.0,0.46029814420904475,16.46054727088461,0.0,-0.7986803993736291,-0.8172314128849927,0.0,shared_kv_read_reduction_delta,0.46029814420904475
8,8192,128,32,16,16.0,mixed_benefit,1.0,0.46029814420904475,16.46054727088461,0.0,-0.7986803993736291,-0.8172314128849927,0.0,placement_mesh_delta,16.46054727088461
8,8192,128,32,16,16.0,mixed_benefit,1.0,0.46029814420904475,16.46054727088461,0.0,-0.7986803993736291,-0.8172314128849927,0.0,shared_kv_placement_delta,0.0
8,8192,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,prefill_saving_delta,1.0
8,8192,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_read_reduction_delta,0.5831134564647751
8,8192,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,placement_mesh_delta,16540992798720.0
8,8192,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_placement_delta,0.0
8,8192,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,-0.09574017280250534,0.9962342722368405,prefill_saving_delta,1.0
8,8192,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,-0.09574017280250534,0.9962342722368405,shared_kv_read_reduction_delta,0.5831134564647751
8,8192,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,-0.09574017280250534,0.9962342722368405,placement_mesh_delta,16540992798720.0
8,8192,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,-0.09574017280250534,0.9962342722368405,shared_kv_placement_delta,0.0
8,8192,128,512,16,2.0,mixed_benefit,1.0,0.45653163404671154,16.30720618662872,0.0,-0.799843930798116,-0.8190547200553212,0.0,prefill_saving_delta,1.0
8,8192,128,512,16,2.0,mixed_benefit,1.0,0.45653163404671154,16.30720618662872,0.0,-0.799843930798116,-0.8190547200553212,0.0,shared_kv_read_reduction_delta,0.45653163404671154
8,8192,128,512,16,2.0,mixed_benefit,1.0,0.45653163404671154,16.30720618662872,0.0,-0.799843930798116,-0.8190547200553212,0.0,placement_mesh_delta,16.30720618662872
8,8192,128,512,16,2.0,mixed_benefit,1.0,0.45653163404671154,16.30720618662872,0.0,-0.799843930798116,-0.8190547200553212,0.0,shared_kv_placement_delta,0.0
8,8192,128,512,16,16.0,mixed_benefit,1.0,0.4602981442047294,16.47473697146152,0.0,-0.799843930798116,-0.8190539867824701,0.0,prefill_saving_delta,1.0
