kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,fp16,4,4,ring_reduce,0.00028978288173675537,5.240323662292212e-05,0.0006265625978836472,0.9999997515901587,0,False
fp32,fp16,4,4,binary_tree_reduce,0.0002868771553039551,4.980238009011373e-05,0.0005922337701554231,0.9999998599438326,0,False
fp32,fp16,4,8,ring_reduce,0.00031094253063201904,5.5853543017292395e-05,0.0006791454515419532,0.9999997562525091,0,False
fp32,fp16,4,8,binary_tree_reduce,0.0002145618200302124,5.270155816106126e-05,0.0006168243424253349,0.9999997803763192,0,False
fp32,fp16,4,16,ring_reduce,0.00042247772216796875,4.613587589119561e-05,0.0006498857857533603,0.999999854932275,0,False
fp32,fp16,4,16,binary_tree_reduce,0.00027948617935180664,4.56778216175735e-05,0.0006307897699641584,0.9999998731022084,0,False
fp32,fp16,8,1,ring_reduce,0.00021947920322418213,6.406314787454903e-05,0.0008097983831628125,0.9999996161978282,0,False
fp32,fp16,8,1,binary_tree_reduce,0.00021947920322418213,5.4251489927992225e-05,0.0006802388467645823,0.9999997688793802,0,False
fp32,fp16,8,2,ring_reduce,0.00019606947898864746,5.52871533727739e-05,0.0005745460126225366,0.9999998257606717,0,False
fp32,fp16,8,2,binary_tree_reduce,0.00035268068313598633,7.838606688892469e-05,0.0009014037809122608,0.9999996969190732,0,False
fp32,fp16,8,4,ring_reduce,0.00024309754371643066,5.615082773147151e-05,0.0007287516239611767,0.9999998216650541,0,False
fp32,fp16,8,4,binary_tree_reduce,0.00017155706882476807,4.842478665523231e-05,0.0006054400093722622,0.9999998937448342,0,False
fp32,fp16,8,8,ring_reduce,0.0004321187734603882,7.544906111434102e-05,0.001007342077940422,0.999999399148396,0,False
fp32,fp16,8,8,binary_tree_reduce,0.0003985762596130371,6.465929618570954e-05,0.0008836559814580432,0.9999995652890344,0,False
fp32,fp16,8,16,ring_reduce,0.0003555715084075928,5.583183155977167e-05,0.0007524031311729363,0.9999997464911342,0,False
fp32,fp16,8,16,binary_tree_reduce,0.00030863285064697266,5.704596696887165e-05,0.0007677130615797472,0.9999996962428841,0,False
fp32,fp16,16,1,ring_reduce,0.00015822798013687134,3.6483732401393354e-05,0.0007396691059676482,0.9999997643423442,0,False
fp32,fp16,16,1,binary_tree_reduce,0.00011293590068817139,4.352518590167165e-05,0.0007946666808979479,0.9999997599260094,0,False
fp32,fp16,16,2,ring_reduce,0.0005166828632354736,9.11078677745536e-05,0.0012128670180874294,0.9999993597853993,0,False
fp32,fp16,16,2,binary_tree_reduce,0.00018380582332611084,5.762201180914417e-05,0.0006736845850353023,0.999999820875474,0,False
