mode,estimated_latency_s,estimated_attention_stage_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,shared_prefix_tokens,agents,decode_tokens
Replicate-All,0.011624889,0.011624889,0.011624889,0.011624889,0.005368785,0.006256104,0.625,0.3125,128.125,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,16,,,,,,,2048,2,512
KVRing-v1-sequential-pipeline,0.00178694,0.00178694,0.00178694,0.00178694,0.000218336,0.001568604,0.375,0.09375,32.125,0.017578125,0.00439453125,0.017578125,1.0,"(0,0)->(0,1)",,16,,,,,False,,2048,2,512
KVRing-v2-ring,0.004710159,0.004710159,1.83e-06,0.004710159,0.00606105,0.001573373,0.375,0.09375,160.0625,1.642578125,0.0137786865234375,0.564453125,4.400609080841639,"(0,0)->(1,0)",0.125,16,512,ring,serpentine,8,False,not_modeled_for_performance,2048,2,512
KVRing-v2-tree,0.004710159,0.004710159,1.77e-06,0.004710159,0.008787288,0.001573373,0.375,0.09375,160.0625,1.515625,0.012786865234375,0.4375,3.675417661097852,"(0,0)->(1,0)",0.125,16,512,tree,serpentine,8,False,not_modeled_for_performance,2048,2,512
Pull-KV Independent,0.346739516,0.346739516,0.346739516,0.346739516,0.34361299,0.003126526,0.28125,0.25,64.03125,64.00390625,0.9375572204589844,32.0009765625,2.9999084528532194,"(7,7)->(6,7)",,1,,,,,,,2048,4,64
Central KV-Stationary,0.003419856,0.003419856,0.003419856,0.003419856,2.642e-05,0.003393436,0.28125,0.25,64.03125,0.00592041015625,8.672475814819336e-05,0.001983642578125,2.0103092783505154,"(7,7)->(6,7)",,1,,,,,,,2048,4,64
Replicate-All,0.006151566,0.006151566,0.006151566,0.006151566,0.00536879,0.000782776,1.03125,0.2578125,16.03125,1.0,0.0146484375,0.5,1.5,"(7,7)->(6,7)",,1,,,,,,,2048,4,64
KVRing-v1-sequential-pipeline,0.000447695,0.000447695,0.000447695,0.000447695,5.5544e-05,0.000392151,0.28125,0.0390625,8.03125,0.00439453125,0.0010986328125,0.00439453125,1.0,"(0,0)->(0,1)",,1,,,,,False,,2048,4,64
KVRing-v2-ring,0.000391013,0.000391013,1.827e-06,0.000391013,0.000106142,0.00040303,0.28125,0.0390625,65.015625,0.05133056640625,0.0005039572715759277,0.009368896484375,4.266410408042578,"(0,0)->(1,0)",0.0625,1,256,ring,serpentine,8,False,not_modeled_for_performance,2048,4,64
KVRing-v2-tree,0.000391013,0.000391013,1.827e-06,0.000391013,0.00017004,0.00040303,0.28125,0.0390625,65.015625,0.04736328125,0.0004729628562927246,0.01287841796875,6.1957151858853186,"(0,2)->(0,1)",0.0625,1,256,tree,serpentine,8,False,not_modeled_for_performance,2048,4,64
Pull-KV Independent,0.346739516,0.346739516,0.346739516,0.346739516,0.34361299,0.003126526,0.28125,0.25,64.03125,64.00390625,0.9375572204589844,32.0009765625,2.9999084528532194,"(7,7)->(6,7)",,2,,,,,,,2048,4,64
Central KV-Stationary,0.003419856,0.003419856,0.003419856,0.003419856,2.642e-05,0.003393436,0.28125,0.25,64.03125,0.00592041015625,8.672475814819336e-05,0.001983642578125,2.0103092783505154,"(7,7)->(6,7)",,2,,,,,,,2048,4,64
Replicate-All,0.006151566,0.006151566,0.006151566,0.006151566,0.00536879,0.000782776,1.03125,0.2578125,16.03125,1.0,0.0146484375,0.5,1.5,"(7,7)->(6,7)",,2,,,,,,,2048,4,64
KVRing-v1-sequential-pipeline,0.000447695,0.000447695,0.000447695,0.000447695,5.5544e-05,0.000392151,0.28125,0.0390625,8.03125,0.00439453125,0.0010986328125,0.00439453125,1.0,"(0,0)->(0,1)",,2,,,,,False,,2048,4,64
KVRing-v2-ring,0.000195701,0.000195701,1.809e-06,0.000195701,0.000148065,0.000207718,0.28125,0.0390625,33.015625,0.05133056640625,0.0004672706127166748,0.012786865234375,3.3671790292748263,"(0,0)->(1,0)",0.03125,2,128,ring,serpentine,8,False,not_modeled_for_performance,2048,4,64
