workload,num_agents,shared_prefix_tokens,output_tokens,cohort_size,shared_kv_read_without_cohort,shared_kv_read_with_cohort,shared_kv_read_reduction_ratio,decode_attention_latency_ms
decode_heavy_shared_prefix,32,512,512,8,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,32,512,512,16,481036337152,34574486732.799995,0.928125,691.4897346559999
decode_heavy_shared_prefix,32,2048,32,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,32,2048,32,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,32,2048,32,4,120259084288,34574486732.799995,0.7125,691.4897346559999
decode_heavy_shared_prefix,32,2048,32,8,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,32,2048,32,16,120259084288,8643621683.199999,0.928125,172.87243366399997
decode_heavy_shared_prefix,32,2048,128,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,32,2048,128,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,32,2048,128,4,481036337152,138297946931.19998,0.7125,2765.9589386239995
decode_heavy_shared_prefix,32,2048,128,8,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,32,2048,128,16,481036337152,34574486732.799995,0.928125,691.4897346559999
decode_heavy_shared_prefix,32,2048,512,1,1924145348608,2212767150899.1997,0.0,44255.34301798399
decode_heavy_shared_prefix,32,2048,512,2,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,32,2048,512,4,1924145348608,553191787724.7999,0.7125,11063.835754495998
