config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.04113746185620837
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9995558223129547
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,2.8987263814894764
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,0.5319032442000506
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.7435059806331015
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,1.101760189498322
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.9837541274615457
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.5242083254804183
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9948791921897672
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9950925642286971
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,1.94368761685714e-05
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,1.0900667940692164
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.9726263128601355
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.5215463913222272
46,train,35,513,134,27,32,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,2.5143654148518118
46,train,35,513,134,27,32,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,2.5139366557429526
46,train,35,513,134,27,32,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.998338745962854
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,1.0535347951434773
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.9361336111530252
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.04813364386437247
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.8287041555493708
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.8287037375377013
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9992454824510091
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.3343967983936166
