config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,pat_like_traffic_only,3930.9035741938983,240854433791.0
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,pat_like_global_orchestrator,32.59957120354468,0.0
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,waferagent_adaptive,32.43758762072317,0.0
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,apc_like,4836.8550115628705,11543375301120.0
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,apc_like_global_orchestrator,6268.857876911113,641298627840.0
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,pat_like_traffic_only,5136.043248954672,10294538324480.0
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,pat_like_global_orchestrator,6268.8276000241185,641298627840.0
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,waferagent_adaptive,81.65040920667043,27619523840.0
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,apc_like,76601.39992133387,306265624412160.0
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,apc_like_global_orchestrator,203352.6672990381,21876116029440.0
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,pat_like_traffic_only,76601.59992133387,306265624412160.0
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,pat_like_global_orchestrator,203352.66838738852,21876116029440.0
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,waferagent_adaptive,80.29707172339522,63071846400.0
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,apc_like,4107.325095242191,16317771939840.0
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,apc_like_global_orchestrator,5513.46293238375,1165555138560.0
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,pat_like_traffic_only,1113.590811619498,67019420467.0
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,pat_like_global_orchestrator,5513.380405981657,1165555138560.0
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,waferagent_adaptive,32.06728095971287,0.0
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,apc_like,5301.94301792918,21131658526720.0
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,apc_like_global_orchestrator,11626.866161336842,1509404180480.0
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,pat_like_traffic_only,1425.033377396098,86790740377.0
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,pat_like_global_orchestrator,11626.804391372723,1509404180480.0
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,waferagent_adaptive,23.49207668585317,0.0
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,apc_like,94120.07205943894,134332573603200.0
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,apc_like_global_orchestrator,153.5894879416971,0.0
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,pat_like_traffic_only,101653.20491252608,132388851491402.0
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,pat_like_global_orchestrator,155.78194897073482,0.0
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,waferagent_adaptive,153.59156730054303,0.0
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,apc_like,82310.8946798997,360593046804480.0
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,apc_like_global_orchestrator,111275.41027109597,18551120098560.0
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,pat_like_traffic_only,82311.2946798997,360593046804480.0
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,pat_like_global_orchestrator,111275.810271096,18551120098560.0
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,waferagent_adaptive,108.7565489417281,14972160.0
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,apc_like,1313130.9138302952,1.05046691807232e+16
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,apc_like_global_orchestrator,3642359.0697840443,612772368875520.0
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,pat_like_traffic_only,1313131.1138302952,1.05046691807232e+16
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,pat_like_global_orchestrator,3642359.0697840443,612772368875520.0
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,waferagent_adaptive,2959649.886691933,542840570511360.0
39,train,33,453,741,71,16,16.0,False,1.0,1.0,apc_like,1297.8236402795044,10226856099840.0
39,train,33,453,741,71,16,16.0,False,1.0,1.0,apc_like_global_orchestrator,2688.7320158842176,590193623040.0
39,train,33,453,741,71,16,16.0,False,1.0,1.0,pat_like_traffic_only,1298.0236402795044,10226856099840.0
39,train,33,453,741,71,16,16.0,False,1.0,1.0,pat_like_global_orchestrator,2688.932015884218,590193623040.0
39,train,33,453,741,71,16,16.0,False,1.0,1.0,waferagent_adaptive,16.736022153504575,0.0
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,apc_like,15453.79552362293,15417066127360.0
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,apc_like_global_orchestrator,51.805154511312125,0.0
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,pat_like_traffic_only,15453.995523622929,14649029820416.0
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,pat_like_global_orchestrator,51.967666734052735,0.0
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,waferagent_adaptive,51.80566673405274,0.0
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,apc_like,83092.49155312903,695716264960000.0
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,apc_like_global_orchestrator,166155.70530253634,60459008640000.0
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,pat_like_traffic_only,159592.5956020008,622399959654325.0
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,pat_like_global_orchestrator,166157.8299161114,60459008640000.0
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,waferagent_adaptive,73.80265687064981,82560000.0
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,apc_like,16377.764926127244,261588254720000.0
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,apc_like_global_orchestrator,63852.424187325334,22791847936000.0
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,pat_like_traffic_only,41343.53246336466,194436477745870.0
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,pat_like_global_orchestrator,63334.291507318434,22791847936000.0
