reuse_group_size,shared_prefix_tokens,decode_tokens,arrival_rate_jobs_per_s,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,apc_like_jct_p99_ms,waferagent_jct_p99_ms,regime_label
4,8192,128,2.0,0.04411764705882353,0.22070876861908317,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
4,8192,128,4.0,0.04411764705882353,0.22070876861908317,4.9640336838564165,382633.93847408245,2282041.697646071,traffic_reduction_only
4,8192,128,8.0,0.04411764705882353,0.22120278251748104,4.936095389300829,382633.93847408245,2271351.5579660176,traffic_reduction_only
4,8192,128,16.0,0.04411764705882353,0.22070876861908317,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
4,8192,512,2.0,0.04411764705882353,0.22070876861908317,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
4,8192,512,4.0,0.04411764705882353,0.22070876861908317,4.9640336838564165,382633.93847408245,2282041.697646071,traffic_reduction_only
4,8192,512,8.0,0.04411764705882353,0.22120278251748104,4.936095389300829,382633.93847408245,2271351.5579660176,traffic_reduction_only
4,8192,512,16.0,0.04411764705882353,0.22070876861908317,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
4,32768,32,2.0,0.04411764705882353,0.14051857210408714,5.034077392720092,1379487.9528129944,8323937.0695986105,traffic_reduction_only
4,32768,32,4.0,0.04411764705882353,0.11346229014647558,5.513969028677972,1379487.9528129944,8985941.800058225,traffic_reduction_only
4,32768,32,8.0,0.04411764705882353,0.12061305914087339,5.4207245361468415,1379487.9528129944,8857312.145945368,traffic_reduction_only
4,32768,32,16.0,0.04411764705882353,0.13044014994870357,5.451136413237702,1379487.9528129944,8899264.96401464,traffic_reduction_only
4,32768,128,2.0,0.04411764705882353,0.14051857210408714,5.034077392720092,1379487.9528129944,8323937.0695986105,traffic_reduction_only
4,32768,128,4.0,0.04411764705882353,0.11346229014647558,5.513969028677972,1379487.9528129944,8985941.800058225,traffic_reduction_only
