mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_ms,memory_bytes_estimated,oom,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps
split_shared_private_merge,8192,1024,2,28,128,cuda:1,float16,True,2.8491015546023846,146800640.0,0,2.8475457802414894,234881024.0,0.9994539421178645,0.375,10
split_shared_private_merge,8192,1024,4,28,128,cuda:1,float16,True,2.82283965498209,176160768.0,0,3.058037720620632,469762048.0,1.0833196689806437,0.625,10
split_shared_private_merge,8192,1024,8,28,128,cuda:1,float16,True,2.8841840103268623,234881024.0,0,3.570565953850746,939524096.0,1.2379813288841084,0.75,10
split_shared_private_merge,8192,1024,16,28,128,cuda:1,float16,True,3.0104522593319416,352321536.0,0,4.3964264914393425,1879048192.0,1.46038738126841,0.8125,10
split_shared_private_merge,16384,64,1,28,128,cuda:1,float16,True,2.886556088924408,235798528.0,0,2.8059943579137325,234881024.0,0.9720907099918178,-0.00390625,10
split_shared_private_merge,16384,64,2,28,128,cuda:1,float16,True,2.9274988919496536,236716032.0,0,3.011186607182026,469762048.0,1.0285867623938323,0.49609375,10
split_shared_private_merge,16384,64,4,28,128,cuda:1,float16,True,2.8670066967606544,238551040.0,0,3.3370433375239372,939524096.0,1.1639468234568002,0.74609375,10
split_shared_private_merge,16384,64,8,28,128,cuda:1,float16,True,2.9235430993139744,242221056.0,0,4.098254255950451,1879048192.0,1.4018107880510224,0.87109375,10
split_shared_private_merge,16384,64,16,28,128,cuda:1,float16,True,3.1283218413591385,249561088.0,0,8.191929198801517,3758096384.0,2.618633764115022,0.93359375,10
split_shared_private_merge,16384,256,1,28,128,cuda:1,float16,True,2.8301598504185677,238551040.0,0,2.7809939347207546,234881024.0,0.9826278661643293,-0.015625,10
split_shared_private_merge,16384,256,2,28,128,cuda:1,float16,True,2.829968463629484,242221056.0,0,2.962845843285322,469762048.0,1.0469536609201011,0.484375,10
split_shared_private_merge,16384,256,4,28,128,cuda:1,float16,True,2.8824051842093468,249561088.0,0,3.418173175305128,939524096.0,1.1858753217732447,0.734375,10
split_shared_private_merge,16384,256,8,28,128,cuda:1,float16,True,2.9203961603343487,264241152.0,0,4.102325066924095,1879048192.0,1.4047152652243011,0.859375,10
split_shared_private_merge,16384,256,16,28,128,cuda:1,float16,True,3.0096275731921196,293601280.0,0,7.990815211087465,3758096384.0,2.6550843972405924,0.921875,10
split_shared_private_merge,16384,1024,1,28,128,cuda:1,float16,True,2.880726009607315,249561088.0,0,2.7205985970795155,234881024.0,0.9444142164184413,-0.0625,10
split_shared_private_merge,16384,1024,2,28,128,cuda:1,float16,True,2.8810608200728893,264241152.0,0,3.0258065089583397,469762048.0,1.0502404141825052,0.4375,10
split_shared_private_merge,16384,1024,4,28,128,cuda:1,float16,True,2.854033373296261,293601280.0,0,3.315599635243416,939524096.0,1.1617241992563212,0.6875,10
split_shared_private_merge,16384,1024,8,28,128,cuda:1,float16,True,2.9682242311537266,352321536.0,0,4.159970674663782,1879048192.0,1.4015014873208662,0.8125,10
split_shared_private_merge,16384,1024,16,28,128,cuda:1,float16,True,3.1052869744598866,469762048.0,0,8.059469051659107,3758096384.0,2.595402330910469,0.875,10
