baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,workflow
single_pin_hot_state,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1167.284744466681,1108.735083903343,0,15360000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,387.99891020625,394.9992916340625,1632,6266880,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1108.735083903343,1070.677804537173,0,16384000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,999.9984139602926,999.9989690741902,0,16384000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1108.735083903343,1070.677804537173,0,16384000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,293.85211581796875,299.1538752816797,1236,5062656,False,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_task,R_0_0,replicate,replicate,1070.677804537173,1395.9405729491623,0,14336000,True,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_rubric,R_0_0,replicate,replicate,1070.677804537173,1395.9405729491623,0,14336000,True,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,395.606731975,402.74437578375,832,0,False,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,542.0573010234375,551.8372456652344,1140,0,False,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,427.93997449218756,435.66098341992193,900,0,False,mapreduce
single_pin_hot_state,1,6.940035717440001,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,412.72433095468745,420.1708151205468,868,0,False,mapreduce
WaferStateFlow,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1395.9405729491623,1257.3613724169554,4000,0,False,mapreduce
WaferStateFlow,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,999.9989690741902,999.9993298982237,4000,0,False,mapreduce
WaferStateFlow,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1395.9405729491623,1257.3613724169554,4000,0,False,mapreduce
WaferStateFlow,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,430.8203058263672,435.7831987871387,1780,6379520,False,mapreduce
WaferStateFlow,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1257.3613724169554,1167.2848920710212,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,999.9993298982237,999.9995644338454,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1257.3613724169554,1167.2848920710212,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,383.38166540953125,387.79808251619534,1584,6082560,False,mapreduce
WaferStateFlow,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1167.2848920710212,1108.7351798461636,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,999.9995644338454,999.9997168819996,0,0,True,mapreduce
